mmsi,name,flag,type,is_suspicious,historical_names,latest_lat,latest_lon,latest_ais_timestamp,latest_speed,latest_heading,ais_ping_count,ais_active_pct,ais_max_gap_hours,ais_disabled,radio_signature_count,avg_frequency,std_frequency,avg_power,avg_signal_strength,unique_pulse_patterns,unique_frequencies
591313077,NAVIRE-3077,USA,Tanker,True,0,14.6423,-99.3351,2026-09-29 20:23:00+00:00,12.1,175.8,10.0,50.0,5071.283333333334,True,6.0,159.82000000000002,2.0297093387970655,263.4833333333333,-79.8,5.0,6.0
416064970,NAVIRE-4970,China,Fishing Vessel,False,"OLD_NAME_0, OLD_NAME_1",-61.0354,-121.8618,2026-12-06 21:33:00+00:00,8.3,235.7,6.0,83.33333333333334,5969.816666666667,True,5.0,159.63000000000002,1.2701771529987451,190.76,-81.7,4.0,5.0
625441675,NAVIRE-1675,Marshall Islands,Passenger Ship,True,0,-30.8868,135.3912,2026-12-07 13:51:00+00:00,10.7,349.4,9.0,33.33333333333333,2961.383333333333,True,1.0,158.59,0.0,412.0,-23.0,1.0,1.0
784993050,NAVIRE-3050,Denmark,Passenger Ship,True,0,-38.6857,-117.4078,2026-12-03 16:19:00+00:00,1.1,139.6,10.0,50.0,5679.75,True,4.0,158.2775,1.3451734708455472,203.45,-71.2,4.0,4.0
345917757,NAVIRE-7757,Bahamas,Passenger Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-17.6472,122.6655,2026-12-30 13:19:00+00:00,13.2,224.3,8.0,37.5,6998.583333333333,True,7.0,159.1057142857143,1.3466236438200678,291.4142857142857,-61.41428571428571,5.0,7.0
498001386,NAVIRE-1386,USA,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",3.0128,144.5351,2026-11-20 20:21:00+00:00,30.0,128.1,5.0,40.0,2664.2833333333333,True,2.0,160.975,0.7141778489984065,350.4,-60.45,2.0,2.0
728358748,NAVIRE-8748,Liberia,Tanker,True,OLD_NAME_0,76.7648,-139.7508,2026-12-18 17:07:00+00:00,27.8,47.1,8.0,50.0,5265.816666666667,True,6.0,157.27,1.0717648995931854,298.26666666666665,-78.75,5.0,6.0
274897537,NAVIRE-7537,Malta,Fishing Vessel,True,OLD_NAME_0,42.6983,27.6289,2026-12-10 19:17:00+00:00,0.9,228.5,12.0,16.666666666666664,5296.283333333334,True,6.0,159.57333333333335,2.556760971750524,217.58333333333334,-82.39999999999999,3.0,6.0
316234277,NAVIRE-4277,Singapore,Tanker,True,OLD_NAME_0,-21.6786,-135.0472,2026-12-04 14:55:00+00:00,2.5,135.9,9.0,55.55555555555556,6934.383333333333,True,6.0,158.14666666666668,1.6663453023508237,282.48333333333335,-68.95,4.0,6.0
497077187,NAVIRE-7187,Singapore,Tanker,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-53.9019,177.4807,2026-12-23 11:48:00+00:00,12.4,145.3,15.0,20.0,4866.583333333333,True,5.0,158.552,2.4300144032494932,209.9,-72.28,3.0,5.0
369075346,NAVIRE-5346,Singapore,Bulk Carrier,False,OLD_NAME_0,-69.6492,5.4973,2026-11-18 23:52:00+00:00,28.9,53.2,11.0,45.45454545454545,3455.3166666666666,True,4.0,158.4375,2.0515583507828024,279.04999999999995,-80.075,3.0,4.0
742854816,NAVIRE-4816,Denmark,Fishing Vessel,False,0,-37.2878,-26.9124,2026-12-20 22:14:00+00:00,22.8,348.8,9.0,55.55555555555556,5434.616666666667,True,9.0,158.5188888888889,1.6050657653539004,290.5111111111112,-75.3111111111111,5.0,9.0
352963430,NAVIRE-3430,Panama,Tanker,True,0,67.3019,42.783,2027-01-01 19:12:00+00:00,17.2,225.9,9.0,33.33333333333333,3977.1,True,5.0,158.674,1.9599183656468944,233.56,-84.4,4.0,5.0
246056778,NAVIRE-6778,France,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",51.4289,90.3913,2026-12-17 14:07:00+00:00,26.7,192.8,15.0,46.666666666666664,7143.8,True,12.0,158.2475,1.6099131823006738,225.26666666666665,-59.13333333333333,4.0,12.0
563497602,NAVIRE-7602,Liberia,Passenger Ship,True,0,-11.1142,93.4064,2026-10-08 08:13:00+00:00,13.1,274.9,8.0,62.5,2984.8166666666666,True,2.0,157.765,1.0960155108391465,121.85,-72.85,2.0,2.0
486243458,NAVIRE-3458,Singapore,Fishing Vessel,False,0,-70.3952,-27.5701,2026-12-22 02:45:00+00:00,4.1,261.4,6.0,66.66666666666666,3527.9333333333334,True,6.0,158.95000000000002,2.0360255401148533,191.53333333333333,-70.0,5.0,6.0
208492908,NAVIRE-2908,Marshall Islands,Fishing Vessel,False,0,58.1637,-30.2599,2026-12-01 17:17:00+00:00,29.0,32.8,11.0,27.27272727272727,6036.616666666667,True,4.0,159.3325,1.5486418781198614,257.975,-60.1,4.0,4.0
560033049,NAVIRE-3049,China,Passenger Ship,False,OLD_NAME_0,-5.8901,29.9309,2026-12-11 07:57:00+00:00,9.6,323.1,16.0,43.75,5178.583333333333,True,3.0,159.03333333333333,1.72424862863027,247.76666666666665,-82.3,3.0,3.0
507796518,NAVIRE-6518,USA,Passenger Ship,False,"OLD_NAME_0, OLD_NAME_1",-84.4195,6.6796,2026-12-31 02:00:00+00:00,13.4,4.7,16.0,56.25,7333.183333333333,True,3.0,159.06666666666666,0.6543189843901299,279.09999999999997,-56.666666666666664,2.0,3.0
551710952,NAVIRE-0952,China,Tanker,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",53.7151,-171.5113,2026-12-11 10:39:00+00:00,3.1,110.3,4.0,75.0,4672.9,True,5.0,158.916,1.3163510170163508,346.7,-80.88,4.0,5.0
247512338,NAVIRE-2338,Panama,Passenger Ship,False,OLD_NAME_0,-37.374,88.9336,2026-12-16 02:56:00+00:00,22.7,100.2,9.0,44.44444444444444,2996.6,True,5.0,159.054,1.5923347637981158,218.4,-66.8,4.0,5.0
683402053,NAVIRE-2053,France,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",22.2858,-51.2286,2026-12-06 03:32:00+00:00,1.2,226.8,8.0,62.5,4918.2,True,6.0,160.0583333333333,1.4654885419772776,255.41666666666666,-77.31666666666666,4.0,6.0
275630215,NAVIRE-0215,Panama,Fishing Vessel,True,OLD_NAME_0,-10.6823,160.1974,2026-11-08 12:10:00+00:00,18.8,2.7,10.0,60.0,5249.35,True,10.0,158.269,1.7527023579477363,262.39,-75.75,6.0,10.0
370219145,NAVIRE-9145,China,Bulk Carrier,False,"OLD_NAME_0, OLD_NAME_1",-13.7637,-69.5673,2027-01-01 21:00:00+00:00,13.4,12.0,11.0,54.54545454545454,8690.35,True,7.0,160.75857142857143,0.988861779546372,278.0,-66.87142857142858,5.0,7.0
780970320,NAVIRE-0320,Singapore,Container Ship,False,OLD_NAME_0,-24.9441,68.9834,2026-12-29 19:44:00+00:00,5.7,50.7,17.0,58.82352941176471,8334.133333333333,True,10.0,158.42000000000002,2.0683165457282726,262.46,-73.1,5.0,9.0
250320883,NAVIRE-0883,Marshall Islands,General Cargo,True,OLD_NAME_0,51.823,110.2628,2026-12-20 10:56:00+00:00,19.7,236.2,7.0,71.42857142857143,5731.666666666667,True,6.0,159.25,1.5504837954651487,252.28333333333333,-64.61666666666666,5.0,6.0
491037315,NAVIRE-7315,Marshall Islands,Bulk Carrier,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",29.2293,-100.2502,2026-12-16 14:21:00+00:00,7.5,57.0,7.0,14.285714285714285,4243.05,True,6.0,158.96833333333333,2.1242355487720004,265.0833333333333,-77.13333333333334,4.0,6.0
471332874,NAVIRE-2874,Marshall Islands,Tanker,False,"OLD_NAME_0, OLD_NAME_1",-65.5567,89.7836,2026-11-25 23:47:00+00:00,14.7,120.5,12.0,50.0,3744.266666666667,True,8.0,159.5525,1.957299524490689,302.1625,-70.1,4.0,8.0
409089660,NAVIRE-9660,Singapore,General Cargo,False,OLD_NAME_0,-37.3559,30.259,2026-11-10 18:33:00+00:00,5.4,153.6,11.0,45.45454545454545,4082.9,True,8.0,159.955,1.7010249011362866,208.625,-60.699999999999996,5.0,8.0
245760948,NAVIRE-0948,China,Container Ship,True,OLD_NAME_0,39.823,114.9566,2026-12-29 15:21:00+00:00,29.2,47.9,9.0,55.55555555555556,2547.9166666666665,True,2.0,159.22500000000002,1.8314065632731504,191.1,-100.25,1.0,2.0
798578134,NAVIRE-8134,Malta,Tanker,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-33.2659,1.3336,2026-12-14 06:08:00+00:00,14.0,335.9,11.0,54.54545454545454,7257.483333333334,True,1.0,160.86,0.0,271.2,-57.6,1.0,1.0
539476072,NAVIRE-6072,Panama,Tanker,True,OLD_NAME_0,55.8419,33.3947,2026-12-24 02:52:00+00:00,27.1,69.5,16.0,43.75,6237.416666666667,True,4.0,158.66750000000002,2.1588635127461555,439.325,-50.025000000000006,3.0,4.0
744844875,NAVIRE-4875,Singapore,Container Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-22.319,68.3608,2026-08-22 04:10:00+00:00,15.1,276.9,4.0,50.0,156.78333333333333,True,4.0,157.9075,0.6890270918718128,210.375,-91.675,3.0,4.0
513453764,NAVIRE-3764,USA,General Cargo,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",45.8247,140.2823,2026-12-18 13:18:00+00:00,10.9,129.4,9.0,44.44444444444444,2903.9333333333334,True,6.0,159.58666666666667,1.527477222961667,275.15000000000003,-86.55,4.0,6.0
520255194,NAVIRE-5194,Singapore,Container Ship,True,0,-78.6132,-29.0599,2026-12-23 13:01:00+00:00,1.2,98.8,8.0,12.5,6647.6,True,2.0,160.08,2.078893936688448,142.70000000000002,-82.25,2.0,2.0
249217423,NAVIRE-7423,Denmark,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1",-22.0754,-101.0329,2026-12-08 18:56:00+00:00,8.1,198.8,6.0,33.33333333333333,7471.633333333333,True,3.0,159.61333333333334,1.4419546918448436,434.2,-80.46666666666667,2.0,3.0
627568457,NAVIRE-8457,France,Container Ship,True,0,43.4224,-176.223,2026-12-27 02:19:00+00:00,24.0,14.5,8.0,62.5,4473.65,True,5.0,158.934,1.157143033509679,290.21999999999997,-72.8,3.0,5.0
205927097,NAVIRE-7097,France,Fishing Vessel,False,"OLD_NAME_0, OLD_NAME_1",-5.9574,156.3626,2026-12-12 13:00:00+00:00,26.6,114.3,8.0,62.5,7326.716666666666,True,1.0,161.74,0.0,225.4,-23.9,1.0,1.0
763973816,NAVIRE-3816,China,Bulk Carrier,False,0,-43.9477,152.5021,2026-12-27 02:59:00+00:00,27.7,11.0,10.0,50.0,5261.9,True,5.0,159.626,0.7585051087500928,282.04,-66.2,5.0,5.0
742245762,NAVIRE-5762,Marshall Islands,General Cargo,False,"OLD_NAME_0, OLD_NAME_1",-18.4599,136.8633,2026-11-12 17:29:00+00:00,0.4,190.7,10.0,40.0,4376.7,True,7.0,158.46142857142857,1.7253543459381306,268.9714285714286,-67.88571428571429,4.0,7.0
424210268,NAVIRE-0268,Singapore,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",-49.3011,43.9149,2026-12-19 00:37:00+00:00,18.1,169.0,10.0,30.0,2312.1833333333334,True,3.0,158.47,1.9848677537810868,248.26666666666665,-32.13333333333333,3.0,3.0
299685327,NAVIRE-5327,China,Passenger Ship,True,0,73.3064,147.909,2026-12-22 23:57:00+00:00,14.1,221.8,15.0,53.333333333333336,5818.3,True,4.0,157.305,1.1184066046538412,261.825,-60.650000000000006,4.0,4.0
243740029,NAVIRE-0029,USA,Fishing Vessel,True,OLD_NAME_0,-62.3977,-175.5515,2026-07-22 23:20:00+00:00,10.4,269.7,6.0,50.0,2471.35,True,5.0,158.542,1.0557793330047869,243.94,-60.56,4.0,5.0
646035868,NAVIRE-5868,Singapore,Container Ship,False,"OLD_NAME_0, OLD_NAME_1",-1.561,151.4318,2026-11-03 20:07:00+00:00,29.4,133.2,9.0,55.55555555555556,6628.25,True,2.0,158.36,1.3435028842544543,60.75,-40.25,2.0,2.0
650238672,NAVIRE-8672,Singapore,Container Ship,False,"OLD_NAME_0, OLD_NAME_1",9.2746,-118.9416,2026-11-16 18:42:00+00:00,10.5,94.5,5.0,60.0,513.0666666666667,True,8.0,159.43125,1.615694786417642,204.7375,-40.7,5.0,8.0
660326323,NAVIRE-6323,Singapore,General Cargo,True,OLD_NAME_0,-33.6058,-17.4117,2026-12-24 17:05:00+00:00,1.9,182.0,10.0,40.0,6351.516666666666,True,6.0,157.975,2.0110967157250355,280.03333333333336,-77.55,2.0,6.0
504126903,NAVIRE-6903,Liberia,Container Ship,True,0,-76.7033,10.4632,2026-11-04 01:55:00+00:00,12.4,294.4,10.0,70.0,6425.116666666667,True,9.0,159.0611111111111,2.047275289527801,112.87777777777778,-58.044444444444444,5.0,9.0
775929575,NAVIRE-9575,Panama,Container Ship,True,"OLD_NAME_0, OLD_NAME_1",37.678,161.5041,2026-11-13 14:00:00+00:00,7.7,23.5,8.0,37.5,5109.916666666667,True,8.0,159.1725,1.626536636098748,277.3875,-79.7625,6.0,8.0
787790467,NAVIRE-0467,Malta,Passenger Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",23.0947,21.2174,2026-12-24 15:09:00+00:00,0.6,343.0,12.0,50.0,5256.183333333333,True,4.0,157.5375,1.0037388438566446,245.92499999999998,-59.075,3.0,4.0
747743383,NAVIRE-3383,Liberia,Container Ship,False,"OLD_NAME_0, OLD_NAME_1",-13.1669,21.2436,2026-12-19 11:24:00+00:00,3.4,231.6,9.0,55.55555555555556,5315.116666666667,True,8.0,159.0775,1.5983272505966852,215.225,-77.2375,6.0,7.0
210027019,NAVIRE-7019,USA,General Cargo,False,0,54.6426,-53.7088,2026-12-09 11:54:00+00:00,23.7,74.9,11.0,45.45454545454545,6716.766666666666,True,3.0,157.79666666666665,2.1382313563628554,293.6333333333333,-35.266666666666666,2.0,3.0
624645703,NAVIRE-5703,Liberia,Tanker,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",31.9473,147.9614,2026-12-03 04:16:00+00:00,3.3,122.7,3.0,66.66666666666666,3114.766666666667,True,7.0,159.47142857142856,1.9558155040070377,246.70000000000002,-64.3,4.0,7.0
222807422,NAVIRE-7422,Panama,Bulk Carrier,True,0,80.979,42.4811,2026-12-10 04:09:00+00:00,8.9,235.4,10.0,50.0,5742.333333333333,True,2.0,159.565,0.6010407640085815,277.1,-73.8,2.0,2.0
647288961,NAVIRE-8961,Denmark,Container Ship,False,OLD_NAME_0,-18.3049,-82.0532,2026-12-24 12:03:00+00:00,23.3,5.3,10.0,60.0,7646.266666666666,True,3.0,160.58666666666667,0.710375487565097,363.9666666666667,-55.199999999999996,2.0,3.0
274434905,NAVIRE-4905,Liberia,Tanker,True,OLD_NAME_0,15.1904,-139.1525,2026-11-18 20:02:00+00:00,9.9,212.2,10.0,50.0,6013.65,True,5.0,158.428,1.430513893675963,246.26,-92.28,3.0,5.0
225857489,NAVIRE-7489,China,General Cargo,True,OLD_NAME_0,34.6036,-143.1911,2026-12-20 20:40:00+00:00,27.5,299.8,9.0,44.44444444444444,5228.316666666667,True,2.0,160.57999999999998,1.9091883092037005,351.65,-35.3,2.0,2.0
556636357,NAVIRE-6357,China,Passenger Ship,False,"OLD_NAME_0, OLD_NAME_1",-45.6219,-131.8855,2026-11-02 21:53:00+00:00,29.3,264.5,9.0,66.66666666666666,2507.4333333333334,True,3.0,159.96666666666667,2.9908248583515107,145.03333333333333,-87.66666666666667,3.0,3.0
410019201,NAVIRE-9201,Denmark,Passenger Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",59.7795,104.154,2026-11-13 22:13:00+00:00,28.5,1.1,6.0,33.33333333333333,3991.4666666666667,True,8.0,159.8775,1.424246668041937,186.3,-76.225,5.0,8.0
639076915,NAVIRE-6915,Liberia,Container Ship,False,"OLD_NAME_0, OLD_NAME_1",-24.0957,-124.5212,2026-12-02 00:12:00+00:00,7.6,176.0,7.0,42.857142857142854,7134.2,True,6.0,158.98666666666665,2.5747206968264797,198.0,-58.833333333333336,5.0,6.0
649179064,NAVIRE-9064,Panama,Tanker,False,OLD_NAME_0,-65.4586,77.2992,2026-12-26 07:28:00+00:00,5.1,234.0,8.0,62.5,3332.6666666666665,True,5.0,159.02,1.5591183406015083,166.68,-77.24,3.0,5.0
764633816,NAVIRE-3816,Singapore,General Cargo,False,OLD_NAME_0,-20.3934,164.6359,2026-12-30 01:44:00+00:00,27.9,273.6,13.0,38.46153846153847,7955.883333333333,True,7.0,158.83142857142857,1.5304185546382296,244.92857142857142,-83.89999999999999,5.0,7.0
249938716,NAVIRE-8716,Panama,Container Ship,False,OLD_NAME_0,7.9953,-8.7241,2026-12-01 07:31:00+00:00,29.8,239.6,7.0,42.857142857142854,5972.166666666667,True,4.0,159.25,1.7029582104874668,305.0,-59.175,4.0,4.0
231960753,NAVIRE-0753,Marshall Islands,General Cargo,False,"OLD_NAME_0, OLD_NAME_1",21.4311,-165.5981,2026-12-06 07:03:00+00:00,11.1,196.2,11.0,63.63636363636363,5231.866666666667,True,3.0,160.15,2.5079673044120745,217.63333333333333,-53.9,3.0,3.0
614933936,NAVIRE-3936,Singapore,General Cargo,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-60.8412,-8.8333,2026-12-21 13:53:00+00:00,25.7,155.6,8.0,50.0,7773.55,True,4.0,157.66750000000002,1.3898051422171898,306.85,-67.95,3.0,4.0
632636162,NAVIRE-6162,USA,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1",9.4379,-106.0723,2026-11-29 20:43:00+00:00,18.2,185.3,10.0,40.0,5792.183333333333,True,6.0,158.78166666666667,2.050447918545272,303.6666666666667,-82.98333333333333,5.0,6.0
539864913,NAVIRE-4913,China,General Cargo,False,0,81.9629,-110.7548,2026-09-18 11:34:00+00:00,28.2,335.8,7.0,57.14285714285714,3103.2833333333333,True,6.0,159.36666666666667,1.5625961303761997,299.26666666666665,-69.10000000000001,6.0,6.0
763605056,NAVIRE-5056,Panama,Fishing Vessel,False,0,18.9189,-169.8821,2026-12-14 16:01:00+00:00,3.2,143.7,15.0,40.0,7136.15,True,5.0,158.78199999999998,2.6143966799244485,351.78000000000003,-51.82000000000001,3.0,5.0
593778451,NAVIRE-8451,France,General Cargo,False,"OLD_NAME_0, OLD_NAME_1",-47.2714,-67.8236,2026-12-04 14:41:00+00:00,18.4,166.8,9.0,55.55555555555556,4571.316666666667,True,6.0,159.42,1.7770087225447062,279.2,-70.86666666666666,5.0,6.0
506756098,NAVIRE-6098,Denmark,Fishing Vessel,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-33.722,-4.2432,2026-11-24 22:26:00+00:00,23.8,182.4,7.0,57.14285714285714,3300.8,True,8.0,159.8325,1.6112705722946943,203.8875,-72.7375,5.0,8.0
566098838,NAVIRE-8838,China,Bulk Carrier,False,0,81.8405,87.635,2026-12-23 15:30:00+00:00,28.7,216.1,9.0,55.55555555555556,5655.566666666667,True,6.0,159.095,2.421377707008964,258.21666666666664,-63.21666666666667,2.0,6.0
256138286,NAVIRE-8286,Bahamas,Tanker,True,OLD_NAME_0,-58.3938,159.1989,2026-12-26 17:09:00+00:00,11.9,38.3,16.0,56.25,3937.7833333333333,True,3.0,158.75333333333333,1.587839202606266,245.4333333333333,-46.76666666666667,2.0,3.0
744527202,NAVIRE-7202,China,General Cargo,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-61.4024,1.1434,2026-12-03 02:47:00+00:00,0.8,274.7,5.0,40.0,6004.916666666667,True,7.0,158.12857142857143,1.965658740909596,291.04285714285714,-75.41428571428571,3.0,7.0
201837657,NAVIRE-7657,Marshall Islands,Fishing Vessel,False,"OLD_NAME_0, OLD_NAME_1",-25.563,32.5632,2026-09-09 14:01:00+00:00,13.1,288.5,7.0,28.57142857142857,4780.15,True,6.0,159.26500000000001,1.7577912276490657,164.71666666666667,-85.81666666666666,4.0,6.0
285312502,NAVIRE-2502,Liberia,Container Ship,False,"OLD_NAME_0, OLD_NAME_1",-70.3006,-179.8389,2026-11-23 22:29:00+00:00,0.3,106.9,9.0,66.66666666666666,5277.35,True,9.0,159.0188888888889,1.4979689953771127,291.17777777777775,-82.57777777777778,6.0,9.0
510967857,NAVIRE-7857,France,Bulk Carrier,False,"OLD_NAME_0, OLD_NAME_1",43.0683,111.0717,2026-10-24 00:42:00+00:00,19.6,55.6,10.0,40.0,3721.233333333333,True,4.0,158.02249999999998,1.8783215024768023,86.65,-66.275,2.0,4.0
399163627,NAVIRE-3627,Marshall Islands,Passenger Ship,True,0,-46.3948,-35.4756,2026-12-30 05:21:00+00:00,15.0,331.1,13.0,46.15384615384615,7996.183333333333,True,3.0,158.91666666666666,1.7162847471597888,363.26666666666665,-79.46666666666667,3.0,3.0
417393024,NAVIRE-3024,USA,Fishing Vessel,True,0,-50.2387,149.0163,2026-12-21 17:22:00+00:00,28.2,160.1,5.0,20.0,2336.266666666667,True,5.0,158.888,2.457970707718066,186.84,-76.32000000000001,5.0,5.0
674133860,NAVIRE-3860,France,General Cargo,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",78.5905,169.871,2026-12-02 10:25:00+00:00,10.8,198.9,9.0,55.55555555555556,7003.066666666667,True,5.0,158.176,1.6308678671186134,323.38,-67.08,4.0,5.0
418216232,NAVIRE-6232,Bahamas,Bulk Carrier,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",3.3606,-141.9144,2026-12-04 14:21:00+00:00,8.5,54.7,12.0,50.0,7488.4,True,9.0,159.20111111111112,1.7073110762573749,249.26666666666668,-67.35555555555555,5.0,9.0
763146211,NAVIRE-6211,China,Fishing Vessel,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-12.1253,-112.537,2026-12-27 03:53:00+00:00,16.2,342.6,4.0,50.0,5605.5,True,5.0,158.44,1.905452702115691,384.65999999999997,-68.97999999999999,4.0,5.0
662348240,NAVIRE-8240,Denmark,Passenger Ship,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",47.7763,45.5226,2026-12-09 19:37:00+00:00,6.4,190.3,7.0,28.57142857142857,4839.133333333333,True,2.0,158.62,0.5656854249492461,260.1,-47.9,2.0,2.0
642006437,NAVIRE-6437,Marshall Islands,Bulk Carrier,False,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-71.8789,102.816,2026-11-02 08:44:00+00:00,15.7,259.9,9.0,66.66666666666666,3352.2833333333333,True,3.0,160.35666666666665,1.9013766942227093,220.26666666666665,-87.86666666666667,2.0,3.0
315113308,NAVIRE-3308,Liberia,Bulk Carrier,False,OLD_NAME_0,-66.3411,-163.8983,2026-11-16 18:39:00+00:00,2.0,340.3,13.0,30.76923076923077,6695.45,True,4.0,157.305,1.0421292306299401,161.2,-70.85,3.0,4.0
473916468,NAVIRE-6468,Marshall Islands,General Cargo,True,0,-30.2338,154.1231,2026-12-04 10:29:00+00:00,2.5,219.9,11.0,45.45454545454545,3164.766666666667,True,5.0,158.73,2.235900266112061,89.4,-65.96000000000001,3.0,5.0
403401992,NAVIRE-1992,France,Passenger Ship,True,OLD_NAME_0,-40.3358,-108.0956,2026-10-22 08:34:00+00:00,1.8,81.5,5.0,20.0,5126.883333333333,True,4.0,158.34,1.6227548592850667,207.8,-41.425,4.0,4.0
661759768,NAVIRE-9768,Singapore,General Cargo,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",14.8552,92.7576,2026-12-18 11:15:00+00:00,0.7,76.8,5.0,40.0,5092.533333333334,True,7.0,159.6457142857143,1.7711564691170651,289.37142857142857,-68.22857142857143,4.0,7.0
410992457,NAVIRE-2457,China,General Cargo,False,OLD_NAME_0,-72.2151,172.329,2026-10-31 09:10:00+00:00,16.5,270.1,6.0,33.33333333333333,3180.55,True,6.0,159.24666666666667,1.9803703357368936,275.1333333333333,-58.166666666666664,5.0,6.0
443828407,NAVIRE-8407,Bahamas,Passenger Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",73.5648,120.0329,2026-11-26 20:13:00+00:00,11.3,337.9,15.0,33.33333333333333,7181.3,True,4.0,160.28,1.278671185254447,243.75,-41.35,3.0,4.0
282716427,NAVIRE-6427,Panama,Container Ship,True,"OLD_NAME_0, OLD_NAME_1, OLD_NAME_2",-70.2975,-179.8301,2026-11-04 18:57:00+00:00,3.1,199.0,9.0,44.44444444444444,5965.7,True,4.0,160.1125,1.188034090419973,285.125,-58.050000000000004,3.0,4.0
